x1,x2,x3,x4,x5,x6,x7,x8
28.0,140.0,1.1,334.8,182.29848,32.92110651442244,4.740886577435895,5.090228544201816
28.0,140.0,1.1,372.0,179.59032,33.531383889623065,4.740795177035896,5.090228544201816
28.0,140.0,1.1,409.2,176.88216000000003,34.14027318611074,4.740703776635895,5.090228544201816
28.0,140.0,1.1,446.4,174.174,34.74650474152209,4.740612376235895,5.090228544201816
28.0,140.0,1.1,483.6,171.46584000000001,35.349234050257685,4.740520975835896,5.090228544201816
28.0,140.0,1.1,520.8,168.75768,35.947686014939386,4.740429575435895,5.090228544201816
28.0,140.0,1.1,558.0,166.04952000000003,36.54114743112059,4.740338175035896,5.090228544201816
28.0,140.0,1.2,0.0,206.67192000000003,36.479125151407985,4.741709181035896,5.090228544201816
28.0,140.0,1.2,37.2,203.96376,36.11634718853347,4.741617780635895,5.090228544201816
28.0,140.0,1.2,74.4,201.2556,35.80718441704366,4.7415263802358965,5.090228544201816
28.0,140.0,1.2,111.6,198.54744,35.535898851246536,4.741434979835896,5.090228544201816
28.0,140.0,1.2,148.8,195.83928,35.293048497451785,4.741343579435896,5.090228544201816
28.0,140.0,1.2,186.0,193.13112,35.074062603771516,4.741252179035897,5.090228544201816
28.0,140.0,1.2,223.2,190.42296,34.87558074331486,4.741160778635896,5.090228544201816
28.0,140.0,1.2,260.4,187.71480000000003,34.69433336568192,4.7410693782358955,5.090228544201816
28.0,140.0,1.2,297.6,185.00664,34.52516174194477,4.740977977835895,5.090228544201816
28.0,140.0,1.2,334.8,182.29848,35.05112684838493,4.740886577435895,5.090228544201816
28.0,140.0,1.2,372.0,179.59032,35.711202956835564,4.740795177035896,5.090228544201816
28.0,140.0,1.2,409.2,176.88216000000003,36.36989098657323,4.740703776635895,5.090228544201816
28.0,140.0,1.2,446.4,174.174,37.02592127523459,4.740612376235895,5.090228544201816
28.0,140.0,1.2,483.6,171.46584000000001,37.678449317220185,4.740520975835896,5.090228544201816
28.0,140.0,1.2,520.8,168.75768,38.32670001515188,4.740429575435895,5.090228544201816
28.0,140.0,1.2,558.0,166.04952000000003,38.96996016458309,4.740338175035896,5.090228544201816
35.0,99.0,0.5,0.0,234.6279,27.774187979654585,4.421945187275196,5.373938733482299
35.0,99.0,0.5,37.2,232.71284400000002,27.454424422569645,4.421880554135196,5.373938733482299
35.0,99.0,0.5,74.4,230.79778800000003,27.17423560795324,4.421815920995196,5.373938733482299
35.0,99.0,0.5,111.6,228.882732,26.922625171099384,4.421751287855197,5.373938733482299
35.0,99.0,0.5,148.8,226.967676,26.693708728866678,4.421686654715196,5.373938733482299
35.0,99.0,0.5,186.0,225.05262000000002,26.48202231279053,4.421622021575196,5.373938733482299
35.0,99.0,0.5,223.2,223.13756400000003,26.28546866477088,4.421557388435197,5.373938733482299
35.0,99.0,0.5,260.4,221.22250800000003,26.10156372725392,4.421492755295197,5.373938733482299
35.0,99.0,0.5,297.6,219.30745199999998,26.16393301841709,4.421428122155196,5.373938733482299
35.0,99.0,0.5,334.8,217.392396,26.61402430581938,4.421363489015197,5.373938733482299
35.0,99.0,0.5,372.0,215.47734,27.065723809844197,4.421298855875196,5.373938733482299
35.0,99.0,0.5,409.2,213.562284,27.51921189501027,4.421234222735197,5.373938733482299
35.0,99.0,0.5,446.4,211.647228,27.974044008997318,4.421169589595197,5.373938733482299
35.0,99.0,0.5,483.6,209.732172,28.430856044202915,4.4211049564551965,5.373938733482299
35.0,99.0,0.5,520.8,207.817116,28.887548392314113,4.4210403233151965,5.373938733482299
35.0,99.0,0.5,558.0,205.90206,29.34359798681725,4.420975690175196,5.373938733482299
35.0,99.0,0.6,0.0,234.6279,30.384605448404585,4.421945187275196,5.373938733482299
35.0,99.0,0.6,37.2,232.71284400000002,30.064841891319645,4.421880554135196,5.373938733482299
35.0,99.0,0.6,74.4,230.79778800000003,29.78465307670324,4.421815920995196,5.373938733482299
35.0,99.0,0.6,111.6,228.882732,29.533042639849384,4.421751287855197,5.373938733482299
35.0,99.0,0.6,148.8,226.967676,29.30412619761668,4.421686654715196,5.373938733482299
35.0,99.0,0.6,186.0,225.05262000000002,29.092439781540527,4.421622021575196,5.373938733482299
35.0,99.0,0.6,223.2,223.13756400000003,28.895886133520886,4.421557388435197,5.373938733482299
35.0,99.0,0.6,260.4,221.22250800000003,28.711981196003922,4.421492755295197,5.373938733482299
35.0,99.0,0.6,297.6,219.30745199999998,28.798046059877784,4.421428122155196,5.373938733482299
35.0,99.0,0.6,334.8,217.392396,29.310385763842582,4.421363489015197,5.373938733482299
35.0,99.0,0.6,372.0,215.47734,29.824333684429895,4.421298855875196,5.373938733482299
35.0,99.0,0.6,409.2,213.562284,30.340070186158467,4.421234222735197,5.373938733482299
35.0,99.0,0.6,446.4,211.647228,30.85715071670802,4.421169589595197,5.373938733482299
35.0,99.0,0.6,483.6,209.732172,31.376211168476118,4.4211049564551965,5.373938733482299
35.0,99.0,0.6,520.8,207.817116,31.895151933149815,4.4210403233151965,5.373938733482299
35.0,99.0,0.6,558.0,205.90206,32.41344994421545,4.420975690175196,5.373938733482299
35.0,99.0,0.7,0.0,234.6279,32.995022917154586,4.421945187275196,5.373938733482299
35.0,99.0,0.7,37.2,232.71284400000002,32.675259360069646,4.421880554135196,5.373938733482299
35.0,99.0,0.7,74.4,230.79778800000003,32.395070545453244,4.421815920995196,5.373938733482299
35.0,99.0,0.7,111.6,228.882732,32.143460108599385,4.421751287855197,5.373938733482299
35.0,99.0,0.7,148.8,226.967676,31.91454366636668,4.421686654715196,5.373938733482299
35.0,99.0,0.7,186.0,225.05262000000002,31.702857250290528,4.421622021575196,5.373938733482299
35.0,99.0,0.7,223.2,223.13756400000003,31.50630360227088,4.421557388435197,5.373938733482299
35.0,99.0,0.7,260.4,221.22250800000003,31.322398664753923,4.421492755295197,5.373938733482299
35.0,99.0,0.7,297.6,219.30745199999998,31.43215910133849,4.421428122155196,5.373938733482299
35.0,99.0,0.7,334.8,217.392396,32.00674722186579,4.421363489015197,5.373938733482299
35.0,99.0,0.7,372.0,215.47734,32.5829435590156,4.421298855875196,5.373938733482299
35.0,99.0,0.7,409.2,213.562284,33.16092847730667,4.421234222735197,5.373938733482299
